"Crop Year","RM","Canola - bu/ac","Spring Wheat - bu/ac"
"2012","1","22.3","36.2"
"2012","2","28.6","37.2"
"2012","3","25.1","39.4"
"2012","4","21.6","31.6"
"2012","5","26.8","29"
"2012","6","22.3","29.1"
"2012","7","25.8","30.3"
"2012","8","23.7","26.9"
"2012","9","22.5","22.2"
"2012","10","21.7","22.1"
"2012","11","24.6","28.4"
"2012","12","22.2","32.9"
"2012","17","","32.1"
"2012","18","","29.3"
"2012","19","16","25.7"
"2012","31","25.1","34"
"2012","32","24.7","33.6"
"2012","33","25.5","32.2"
"2012","34","28.2","33.8"
"2012","35","25.7","28.2"
"2012","36","23.1","30.3"
"2012","37","24.2","28.4"
"2012","38","26.5","24.2"
"2012","39","26.5","26"
"2012","40","21.9","26.4"
"2012","42","22.2","32"
"2012","43","21.5","32.4"
"2012","44","20","27.4"
"2012","45","18.1","30.4"
"2012","46","13","32.9"
"2012","49","23.8","31.7"
"2012","51","18.7","29.4"
"2012","61","24.8","41"
"2012","63","26.8","37.4"
"2012","64","28.7","34.2"
"2012","65","30","36.2"
"2012","66","22.1","30.1"
"2012","67","22.1","29.5"
"2012","68","24.9","23.4"
"2012","69","20.7","16.8"
"2012","70","25.2","25.9"
"2012","71","26.5","31.5"
"2012","72","26.6","32.3"
"2012","73","28.9","32.2"
"2012","74","20.7","27"
"2012","75","23.7","28.1"
"2012","76","25","31.1"
"2012","77","25.3","28.9"
"2012","78","22.2","31.7"
"2012","79","27.9","30.6"
"2012","91","24","39.4"
"2012","92","23.3","39"
"2012","93","18.6","34.2"
"2012","94","26.6","31.7"
"2012","95","22.2","38.2"
"2012","96","24.4","31.8"
"2012","97","27.1","30.8"
"2012","98","31.3","29.7"
"2012","99","32.6","37.8"
"2012","100","32","26"
"2012","101","23.4","27.1"
"2012","102","32.3","27.1"
"2012","103","28.4","19.9"
"2012","104","26.2","30.4"
"2012","105","24.5","28.6"
"2012","106","29.2","26.6"
"2012","107","29.8","28.9"
"2012","108","27.9","34.2"
"2012","109","28.4","28.4"
"2012","110","23.2","33.8"
"2012","111","32.5","37.8"
"2012","121","19.9","35.4"
"2012","122","19","37.8"
"2012","123","21.4","40.3"
"2012","124","21.8","27.9"
"2012","125","20.9","36"
"2012","126","22.7","40.1"
"2012","127","24.5","36"
"2012","128","32.6","38.5"
"2012","129","31","30.9"
"2012","130","35.6","32.8"
"2012","131","30.3","39.9"
"2012","132","29","33.5"
"2012","133","20.7","26.2"
"2012","134","24.5","25.6"
"2012","135","25.7","34.2"
"2012","136","25","29.6"
"2012","137","29","32.5"
"2012","138","29.9","35.6"
"2012","139","29.6","34.9"
"2012","141","35","33.4"
"2012","142","33.2","36.7"
"2012","151","21.3","34.5"
"2012","152","20","34.9"
"2012","153","15.9","28.8"
"2012","154","22.9","33.9"
"2012","155","22.2","32"
"2012","156","26.9","34"
"2012","157","24.7","33.9"
"2012","158","26.2","35.8"
"2012","159","33","38.8"
"2012","160","37","53.3"
"2012","161","31.9","34.7"
"2012","162","24.5","36.7"
"2012","163","17.5","24.9"
"2012","164","24.5","29.3"
"2012","165","26.8","35.2"
"2012","166","28.7","31.3"
"2012","167","27.8","30.5"
"2012","168","26.3","33.2"
"2012","169","30.7","36.7"
"2012","171","26.9","33.3"
"2012","181","20.8","33.7"
"2012","183","18.8","32.9"
"2012","184","19.9","28.5"
"2012","185","21.6","32"
"2012","186","25.1","34.7"
"2012","187","25.4","31.2"
"2012","189","28","36.8"
"2012","190","24.8","33.4"
"2012","191","25.7","47.5"
"2012","193","27.7","31.1"
"2012","194","21.5","27"
"2012","211","19.1","33.1"
"2012","213","20.5","31.7"
"2012","214","20.4","28.8"
"2012","215","23.5","27.7"
"2012","216","19.5","31.5"
"2012","217","21.2","36.5"
"2012","218","22.6","34.4"
"2012","219","21.6","35.8"
"2012","220","23.2","36.1"
"2012","221","23.3","35"
"2012","222","22.9","33"
"2012","223","26.3","37.4"
"2012","224","23.4","31.2"
"2012","225","26.2","32.5"
"2012","226","26.7","27.6"
"2012","228","30.1","31.5"
"2012","229","32","33.6"
"2012","230","27.1","39"
"2012","231","29.1","35.5"
"2012","232","32.2","35.3"
"2012","241","16","28.4"
"2012","243","21.6","36.7"
"2012","244","25.7","30.1"
"2012","245","21.2","25.3"
"2012","246","17.7","28.6"
"2012","247","25.8","28.7"
"2012","248","24.7","32.8"
"2012","250","26.4","35.2"
"2012","251","28.9","35.2"
"2012","252","25.9","37.8"
"2012","253","25.3","39.9"
"2012","254","23.1","34.4"
"2012","255","26.1","30.4"
"2012","256","20.9","27.3"
"2012","257","23.7","30"
"2012","259","27","29.8"
"2012","260","25.6","28.4"
"2012","261","26.5","30.8"
"2012","271","23.3","33.1"
"2012","273","20.8","33.6"
"2012","274","19.9","29.5"
"2012","275","17.1","33.8"
"2012","276","21.1","32.9"
"2012","277","18.4","30"
"2012","279","30","50.5"
"2012","280","28.3","43.2"
"2012","281","26.2","40.6"
"2012","282","21.7","33.1"
"2012","283","26.2","34.4"
"2012","284","27.4","29.2"
"2012","285","22.7","27.6"
"2012","286","22.5","26.2"
"2012","287","25.1","32.9"
"2012","288","21.1","31.1"
"2012","290","23.2","35"
"2012","292","19.7","30.4"
"2012","301","12.7","26.8"
"2012","303","20.7","40.1"
"2012","304","20.5","31.8"
"2012","305","21","33.7"
"2012","307","25.9","36.7"
"2012","308","25.2","37.2"
"2012","309","30.9","41.8"
"2012","310","27.9","49.4"
"2012","312","27.6","39.4"
"2012","313","26.5","35.6"
"2012","314","23.5","34.8"
"2012","315","25.6","34.9"
"2012","316","24.6","37.7"
"2012","317","24.7","28.9"
"2012","318","26","38.9"
"2012","319","22.7","29.2"
"2012","320","20.4","26.4"
"2012","321","18.7","27.4"
"2012","322","31.5","24.8"
"2012","331","15.8","37"
"2012","333","21.4","36.1"
"2012","334","24.5","35.8"
"2012","335","19.2","35.6"
"2012","336","26.4","37.3"
"2012","337","25.2","40.6"
"2012","338","32.7","45.6"
"2012","339","24.3","42.5"
"2012","340","25.3","36.7"
"2012","341","26.1","36.2"
"2012","342","28.2","36.9"
"2012","343","27.3","36.3"
"2012","344","20.3","30.3"
"2012","345","28.3","41.6"
"2012","346","23.1","33.4"
