Date,"Field Peas 1CAN - Yellow ($ per bu)","Field Peas 1CAN - Green ($ per bu)","Field Peas 1CAN - Feed ($ per bu)"
1992-01-01,4,4.75,4
1992-01-08,4,4.75,4
1992-01-15,4,4.4,4
1992-01-22,4.25,4.4,4.25
1992-01-29,4.25,4.4,4.25
1992-02-05,4.9,4.4,4.35
1992-02-12,5,4.4,4.35
1992-02-19,5,4.4,4.35
1992-02-26,5,5,4.35
1992-03-04,5,5,4.35
1992-03-11,4.75,5,4.35
1992-03-18,4.75,5,4.35
1992-03-25,4.75,5,3.75
1992-04-01,4.75,5,3.75
1992-04-08,4.75,5,3.75
1992-04-15,3.75,5,3.75
1992-04-22,3.75,5,3.75
1992-04-29,3.75,4.75,3.75
1992-05-06,3.75,4.75,3.75
1992-05-13,3.75,4.75,3.75
1992-05-20,4.5,4.75,4.5
1992-05-27,4.5,4.75,4.5
1992-06-03,4.5,4.5,4.5
1992-06-10,4,4.5,4
1992-06-17,4,4.5,4
1992-06-24,4,4.5,4
1992-07-01,,,
1992-07-08,4.2,4.2,4.2
1992-07-15,4.2,4.2,4.2
1992-07-22,4.2,4.2,4.2
1992-07-29,,,
1992-08-05,4.5,4.5,4.5
1992-08-12,4.5,4.5,4.5
1992-08-19,4.5,4.5,4.5
1992-08-26,4.5,4.5,4.5
1992-09-02,4.5,4.5,4.5
1992-09-09,5,5.25,4.65
1992-09-16,5,5.25,4.65
1992-09-23,5.25,5.4,4.65
1992-09-30,,,4.65
1992-10-07,5.35,5.5,4.65
1992-10-14,5.35,5.5,4.65
1992-10-21,5.35,5.5,4.65
1992-10-28,,5.5,4.65
1992-11-04,5,5.5,4.65
1992-11-11,5,5.5,4.65
1992-11-18,5,5.5,4.65
1992-11-25,5,5.5,4.65
1992-12-02,5,5.5,4.65
1992-12-09,5,5.5,4.5
1992-12-16,5,5,4.5
1992-12-23,5,6,4.5
1992-12-30,5,6,4.5
1993-01-06,5,6,4.5
1993-01-13,5,6,4.5
1993-01-20,5,6,4.5
1993-01-27,5,6,4.5
1993-02-03,5,6,4.5
1993-02-10,5,6,4.5
1993-02-17,5,6,4.5
1993-02-24,5,5.85,4.5
1993-03-03,5,5.35,4.05
1993-03-10,5,5.35,4.05
1993-03-17,5,5.35,4.05
1993-03-24,5,5.35,4.05
1993-03-31,5,5.35,4.05
1993-04-07,4.75,5,3.75
1993-04-14,4.75,5,3.75
1993-04-21,4.75,5,3.75
1993-04-28,4.75,5,3.75
1993-05-05,3.75,4.75,3.75
1993-05-12,3.75,4.75,3.75
1993-05-19,3.75,4.25,3.75
1993-05-26,3.75,4.25,3.75
1993-06-02,3.75,4.25,3.75
1993-06-09,3.75,4.25,3.75
1993-06-16,3.75,4.25,3.75
1993-06-23,3.75,4.25,3.75
1993-06-30,3.75,4.25,3.75
1993-07-07,3.75,4.25,3.75
1993-07-14,3.75,4.25,3.75
1993-07-21,3.75,4.25,3.75
1993-07-28,3.75,4.25,3.75
1993-08-04,3.75,4.25,3.75
1993-08-11,3.75,4.25,3.75
1993-08-18,3.75,3.75,3.75
1993-08-25,4.5,4.25,4
1993-09-01,4.5,4.25,4
1993-09-08,4.75,,
1993-09-15,4.65,,
1993-09-22,4.65,,
1993-09-29,4.65,,
1993-10-06,5,,
1993-10-13,5,4.25,
1993-10-20,5.5,4.25,4.45
1993-10-27,,,
1993-11-03,,4.4,
1993-11-10,,4.4,4
1993-11-17,,4.4,4
1993-11-24,,4.4,4
1993-12-01,,4.4,4
1993-12-08,,4.4,4
1993-12-15,5.5,4.4,4.08
1993-12-22,5.5,4.4,4.22
1993-12-29,5.5,4.4,4.22
1994-01-05,5.17,4.4,4.35
1994-01-12,5.17,4.4,4.35
1994-01-19,5.44,4.4,4.35
1994-01-26,5.44,4.4,4.35
1994-02-02,5.5,5,4.35
1994-02-09,5.5,5,4.35
1994-02-16,5.5,5,4.35
1994-02-23,5.5,5.35,4.35
1994-03-02,5.5,5.35,4.35
1994-03-09,5.5,5.35,4.35
1994-03-16,5.5,5.35,4.35
1994-03-23,5.5,5.35,4.35
1994-03-30,6.5,5.5,4.35
1994-04-06,5.31,5.5,4.35
1994-04-13,5.31,5.5,5.01
1994-04-20,5.31,5.5,5.01
1994-04-27,5.31,5.44,5.01
1994-05-04,5.31,5.5,5.01
1994-05-11,5.31,5.5,5.01
1994-05-18,4.87,5.5,4.87
1994-05-25,4.87,5.5,4.87
1994-06-01,4.87,5.5,4.87
1994-06-08,4.87,5.01,4.87
1994-06-15,4.87,5.17,4.87
