Date,"Flax 1CAN ($ per tonne)"
1980-07-02,
1980-07-09,
1980-07-16,
1980-07-23,
1980-07-30,
1980-08-06,
1980-08-13,
1980-08-20,
1980-08-27,
1980-09-03,
1980-09-10,
1980-09-17,
1980-09-24,
1980-10-01,
1980-10-08,
1980-10-15,
1980-10-22,
1980-10-29,
1980-11-05,
1980-11-12,
1980-11-19,
1980-11-26,
1980-12-03,
1980-12-10,
1980-12-17,
1981-01-07,
1981-01-14,
1981-01-21,
1981-01-28,
1981-02-04,
1981-02-11,
1981-02-18,
1981-02-25,
1981-03-04,
1981-03-11,
1981-03-18,
1981-03-25,
1981-04-01,
1981-04-08,
1981-04-15,
1981-04-22,
1981-04-29,
1981-05-06,
1981-05-13,
1981-05-20,
1981-05-27,
1981-06-03,
1981-06-10,
1981-06-17,
1981-06-24,
1981-07-01,
1981-07-08,
1981-07-15,
1981-07-22,
1981-07-29,
1981-08-05,
1981-08-12,
1981-08-19,
1981-08-26,
1981-09-02,
1981-09-09,
1981-09-16,
1981-09-23,
1981-09-30,
1981-10-07,
1981-10-14,
1981-10-21,
1981-10-28,
1981-11-04,
1981-11-11,
1981-11-18,
1981-11-25,
1981-12-02,
1981-12-09,
1981-12-16,
1981-12-23,
1981-12-30,
1982-01-06,
1982-01-13,
1982-01-20,
1982-01-27,
1982-02-03,
1982-02-10,
1982-02-17,
1982-02-24,
1982-03-03,
1982-03-10,
1982-03-17,
1982-03-24,
1982-03-31,
1982-04-07,
1982-04-14,
1982-04-21,
1982-04-28,
1982-05-05,
1982-05-12,
1982-05-19,
1982-05-26,
1982-06-02,
1982-06-09,
1982-06-16,
1982-06-23,
1982-06-30,
1982-07-07,
1982-07-14,
1982-07-21,
1982-07-28,
1982-08-04,275
1982-08-11,271.6
1982-08-18,277.6
1982-08-25,299
1982-09-01,298.6
1982-09-08,284.6
1982-09-15,284.3
1982-09-22,267.5
1982-09-29,261.6
1982-10-06,261.3
1982-10-13,266.4
1982-10-20,265
1982-10-27,257.4
1982-11-03,263.6
1982-11-10,262.1
1982-11-17,262.9
1982-11-24,262.3
1982-12-01,259.7
1982-12-08,256.5
1982-12-15,250.4
1982-12-22,239.5
1982-12-29,238.4
1983-01-05,240.6
1983-01-12,242.2
1983-01-19,245.8
1983-01-26,250.1
1983-02-02,248.1
1983-02-09,242.6
1983-02-16,243.9
1983-02-23,244.8
1983-03-02,242.2
1983-03-09,240.8
1983-03-16,241.4
1983-03-23,246.4
1983-03-30,
1983-04-06,
1983-04-13,241.5
1983-04-20,236.8
1983-04-27,237.7
1983-05-04,233.5
1983-05-11,233.3
1983-05-18,239.7
1983-05-25,241.6
1983-06-01,234.5
1983-06-08,240.4
1983-06-15,237.3
1983-06-22,235.4
1983-06-29,233
1983-07-06,244.5
1983-07-13,241.2
1983-07-20,249.6
1983-07-27,244.4
1983-08-03,252.3
1983-08-10,272.5
1983-08-17,306
1983-08-24,313.3
1983-08-31,
1983-09-07,330.4
1983-09-14,344.4
1983-09-21,351.6
1983-09-28,328.8
1983-10-05,308.4
1983-10-12,310.2
1983-10-19,311.6
1983-10-26,303.5
1983-11-02,311.5
1983-11-09,
1983-11-16,298.8
1983-11-23,298.9
1983-11-30,
1983-12-07,313.2
1983-12-14,315.6
1983-12-21,
1983-12-28,
1984-01-04,300
1984-01-11,303.9
1984-01-18,313.5
1984-01-25,316.7
1984-02-01,309.2
1984-02-08,303.4
1984-02-15,306.8
1984-02-22,300.8
1984-02-29,309.7
1984-03-07,308.8
1984-03-14,311.4
1984-03-21,306.5
1984-03-28,311.2
1984-04-04,303.7
1984-04-11,303.2
1984-04-18,307.6
1984-04-25,295.8
1984-05-02,337.2
1984-05-09,350.6
1984-05-16,362.1
1984-05-23,330.3
1984-05-30,311.5
1984-06-06,327
1984-06-13,325.2
1984-06-20,294
1984-06-27,291.5
1984-07-04,286
1984-07-11,312.1
1984-07-18,318.6
1984-07-25,327.2
1984-08-01,323.8
1984-08-08,330.8
1984-08-15,328
1984-08-22,326.9
1984-08-29,312.6
1984-09-05,308.2
1984-09-12,301.2
1984-09-19,298.7
1984-09-26,304.4
1984-10-03,307.8
1984-10-10,312.2
1984-10-17,310.6
1984-10-24,
1984-10-31,313.8
1984-11-07,322.4
1984-11-14,318.2
1984-11-21,317.3
1984-11-28,318.5
1984-12-05,312.8
1984-12-12,314.3
1984-12-19,
1984-12-26,
1985-01-02,308.7
1985-01-09,313.2
1985-01-16,313
1985-01-23,312.6
1985-01-30,315
1985-02-06,317.2
1985-02-13,317.8
1985-02-20,316.5
1985-02-27,321.9
1985-03-06,321.9
1985-03-13,321.8
1985-03-20,323.3
1985-03-27,329.3
1985-04-03,340.8
1985-04-10,340.5
1985-04-17,341.9
1985-04-24,337
1985-05-01,343.2
1985-05-08,337
1985-05-15,335.5
1985-05-22,313.5
1985-05-29,320.3
1985-06-05,326.1
1985-06-12,319.9
1985-06-19,317.2
