Date,"Lentils Small Red ($ per cwt)","Lentils Large Green ($ per cwt)","Lentils Small Green ($ per cwt)","Lentils Medium Green ($ per cwt)","Lentils French Green ($ per cwt)"
1992-01-01,,14.75,13,,10
1992-01-08,,14.75,13,,10
1992-01-15,,13.5,12,,10
1992-01-22,,13.5,12,,10
1992-01-29,,13.75,12,,10
1992-02-05,,13.75,12,,10
1992-02-12,,13.75,12,,10
1992-02-19,,13.75,12,,10
1992-02-26,,13.5,12,,10
1992-03-04,,13.5,12,,10
1992-03-11,,13.5,12,,10
1992-03-18,,13,11.5,,10
1992-03-25,,13,11.5,,10
1992-04-01,,13,11.5,,10
1992-04-08,,12,10,,10
1992-04-15,,12,10,,10
1992-04-22,,12.5,,,
1992-04-29,,12,10,,
1992-05-06,,12,10,,
1992-05-13,,12,10,,
1992-05-20,,12,10,,
1992-05-27,,12,10,,
1992-06-03,,12,10,,
1992-06-10,,12,10,,
1992-06-17,,12,10,,
1992-06-24,,12,10,,
1992-07-01,,,10,,
1992-07-08,,12.5,10,,
1992-07-15,,13,10,,
1992-07-22,,12.5,10,,
1992-07-29,,,10,,
1992-08-05,,12,10,,
1992-08-12,,12,10,,
1992-08-19,,12,10,,
1992-08-26,,,,,
1992-09-02,,17,12,,
1992-09-09,,17,12,14,
1992-09-16,,20,13,16,13
1992-09-23,,20,14,20,14
1992-09-30,,20,14,20,14
1992-10-07,,20,14,20,14
1992-10-14,,21,14,20,14
1992-10-21,,21,14,20,14
1992-10-28,,,,20,
1992-11-04,,26,19,20,17
1992-11-11,,,,,
1992-11-18,,23,16,19,15
1992-11-25,,22.5,16,19,15
1992-12-02,,22,16,18,14
1992-12-09,,22.5,16,19,15
1992-12-16,,22.5,16,19,15
1992-12-23,,22.5,16,19,15
1992-12-30,,22.5,16,19,15
1993-01-06,,21.5,17,19,15
1993-01-13,,22,17,19,15
1993-01-20,,18,16.5,19,15
1993-01-27,,18,16.5,19,15
1993-02-03,,15.5,15,19,15
1993-02-10,,15.5,15,19,15
1993-02-17,,16,15,19,15
1993-02-24,,15.5,15,19,15
1993-03-03,,15.5,15,19,15
1993-03-10,,15.5,15,15,15
1993-03-17,,15.5,15,15,15
1993-03-24,,15.5,15,15,15
1993-03-31,,16,15,15,15
1993-04-07,,16,15,15,15
1993-04-14,,16,15,15,15
1993-04-21,,16,15,15,15
1993-04-28,,16.75,15,15,15
1993-05-05,,13,15,15,15
1993-05-12,,14.5,15,15,15
1993-05-19,,14.5,15,15,15
1993-05-26,,14.5,15,15,15
1993-06-02,,15,15,15,15
1993-06-09,,15,15,15,15
1993-06-16,,14.8,15,15,15
1993-06-23,,13.5,13.5,14,14
1993-06-30,,13.5,13.5,14,14
1993-07-07,,13,13,14,14
1993-07-14,,13,13,14,14
1993-07-21,,13,13,14,14
1993-07-28,,14,14,14,14
1993-08-04,,14,14,14,14
1993-08-11,,14,14,14,14
1993-08-18,,14,14,14,14
1993-08-25,,14,14,14,14
1993-09-01,,,,,
1993-09-08,,,,,
1993-09-15,,20,21,,21
1993-09-22,,24,23,,21
1993-09-29,,25,25,,21
1993-10-06,,22,27,,21
1993-10-13,,22,27,,21
1993-10-20,,22,25,,25
1993-10-27,,22,25,,25
1993-11-03,,22,25,,25
1993-11-10,,23,28,,25
1993-11-17,,23,28,,25
1993-11-24,,23,28,,25
1993-12-01,,23,28,,25
1993-12-08,,19,28,,25
1993-12-15,,17.5,28,17.7,25
1993-12-22,,17.5,28,17.7,25
1993-12-29,,17.5,28,17.7,25
1994-01-05,,17.5,28,17.2,25
1994-01-12,,17.5,28,17.2,25
1994-01-19,,17.5,28,17.2,25
1994-01-26,,18,26,17.2,25
1994-02-02,,18,26,17.2,25
1994-02-09,,18,26,17.2,25
1994-02-16,,18,26,17.2,25
1994-02-23,,18,26,17.2,25
1994-03-02,,18,26,17.2,25
1994-03-09,,18,26,17.2,25
1994-03-16,,18,26,17.2,25
1994-03-23,,18,23.8,17.2,25
1994-03-30,,18,22.7,17.2,25
1994-04-06,,18,22.7,17.2,25
1994-04-13,,18,22.7,17.2,25
1994-04-20,,18,22.7,17.2,25
1994-04-27,,18,22.7,17.2,25
1994-05-04,,18,22.7,16.8,25
1994-05-11,,18,22.7,16.8,25
1994-05-18,,18,20.4,16.8,22.7
1994-05-25,,18,20.4,16.8,22.7
1994-06-01,,18,,,22.7
1994-06-08,,18,,,22.7
1994-06-15,,18,10,13.2,22.7
1994-06-22,,18,10,13.2,22.7
1994-06-29,,16.5,10,13.2,22.7
1994-07-06,,16.5,10,13.2,17.2
1994-07-13,,15.5,10,13.2,15.4
1994-07-20,,15.5,10,13.2,15.4
1994-07-27,,15.5,10,13.6,14.5
1994-08-03,,14.5,16.5,15,14.5
1994-08-10,,16,16.5,15,14.1
1994-08-17,,16,16.5,15,14.1
1994-08-24,,16,16.5,15,14.1
1994-08-31,,16,16.5,15,13.6
1994-09-07,,16,16.5,15,13.6
1994-09-14,,17,17,15,13.6
1994-09-21,,17.9,18.1,15,13.6
1994-09-28,,17.9,18.1,15,13.6
1994-10-05,,19,19.5,15,15
1994-10-12,,19.5,19.5,16,14.5
1994-10-19,,18.8,19.5,16.1,14.5
1994-10-26,,17.9,18.1,16.1,14.5
1994-11-02,,18.1,19.3,16.1,14.5
1994-11-09,,18.6,19.3,16.1,14.5
1994-11-16,,18.6,19.3,16.1,14.5
1994-11-23,,18.6,19.3,16.1,14.5
1994-11-30,,18.6,19.3,16.1,14.5
1994-12-07,,18.6,20,16.1,14.5
1994-12-14,,18.6,20,16.1,14.5
1994-12-21,,18.6,20,16.1,14.5
1994-12-28,,19.5,20,16.1,14.5
1995-01-04,,19.5,20,16.1,14.5
1995-01-11,,18.6,18.6,16.1,14.5
1995-01-18,,18.6,18.6,16.1,14.5
1995-01-25,,18.6,18.6,16.1,14.5
1995-02-01,,18.6,18.1,16.1,14.5
1995-02-08,,18.6,17.7,16.1,14.5
1995-02-15,,18.6,17.7,16.1,14.5
1995-02-22,,18.6,18.1,16.1,14.5
1995-03-01,,18.6,18.1,16.1,14.5
1995-03-08,,18.6,17.7,16.1,16
1995-03-15,,18.6,17.7,16.1,16
1995-03-22,,18.6,17.7,16.1,16
1995-03-29,,18.6,17.7,16.1,16
1995-04-05,,18.6,17.7,16.1,16
1995-04-12,,18.6,17,16.1,16
1995-04-19,,18.6,17,16.1,16
1995-04-26,,18.6,17,16.1,16
1995-05-03,,18.6,17,16.1,15
1995-05-10,,20,17,16.1,15
1995-05-17,,20,17,16.1,15
1995-05-24,,20,17,16.1,15
1995-05-31,,20,17,16.1,15
1995-06-07,,20,17,16.1,15
1995-06-14,,20,17,16.1,15
1995-06-21,,20,17,16.1,15
1995-06-28,,20,17,16.1,15
1995-07-05,,20,17,18.1,15
1995-07-12,,20,17,18.1,15
1995-07-19,,20,17,18.1,15
1995-07-26,,20,17,18.1,15
1995-08-02,,20,17,20,15
1995-08-09,,20,17,20,15
1995-08-16,,20,17,20,15
1995-08-23,,20,21,19,15
1995-08-30,,21,21,19,15
1995-09-06,,23,22,22,15
1995-09-13,,23,22,22,15
1995-09-20,,23,22,22,15
1995-09-27,,23,22,22,15
1995-10-04,,23,22,22,15
1995-10-11,,23,22,22,15
1995-10-18,,23,22,22,15
1995-10-25,,23,22,22,15
1995-11-01,,23,22,22,15
1995-11-08,,23,22,22,15
1995-11-15,,23,22,22,15
1995-11-22,,23,22,22,15
1995-11-29,,23,22,22,15
1995-12-06,,23,22,22,15
1995-12-13,,23,22,22,15
1995-12-20,,23,22,22,15
1995-12-27,,23,22,22,15
1996-01-03,,23,22,22,15
1996-01-10,,22,21.6,22,15
1996-01-17,,22,20.6,22,15
1996-01-24,,22,20.6,22,15
1996-01-31,,22,20.6,22,15
1996-02-07,,22,20.6,22,15
1996-02-14,,22,20.4,22,15
1996-02-21,,22,20,22,17
1996-02-28,,22,16,22,17
1996-03-06,,22,16,22,17
1996-03-13,,22,16,22,17
1996-03-20,,22,16,19,17
1996-03-27,,22,16,19,17
1996-04-03,,22,16,19,17
1996-04-10,,22,16,19,17
1996-04-17,,22,15.97,19,17
1996-04-24,,22,15.97,18.96,16.96
1996-05-01,,22,15.97,18.96,16.96
1996-05-08,,22,15.97,18.96,16.96
1996-05-15,,23,18.46,18.96,16.96
1996-05-22,,23,18.46,18.96,16.96
1996-05-29,,23,18.46,18.96,16.96
1996-06-05,,23,19.01,18.96,16.96
1996-06-12,,23,19.01,18.96,16.96
1996-06-19,,23,19.01,18.96,16.96
1996-06-26,,23,19.01,18.96,16.96
1996-07-03,,23,19.01,18.96,16.96
1996-07-10,,23,18.51,18.96,16.96
1996-07-17,,22,18.51,18.96,16.96
1996-07-24,,22,18.51,18.96,16.96
1996-07-31,,22,18.51,18.96,16.96
1996-08-07,,22,17.46,18.96,16.96
1996-08-14,,22,17.46,18.96,16.96
1996-08-21,,22,17.46,18.96,16.96
1996-08-28,,20.96,17.46,18.96,16.96
1996-09-04,,22,16.56,19.05,16.96
1996-09-11,,21.5,16.01,19.05,16.96
1996-09-18,,19.96,15.47,19.05,16.01
1996-09-25,,19.96,14.29,18.14,14.74
1996-10-02,,19.96,13.61,18.14,13.61
1996-10-09,,21,13.61,18.14,13.61
1996-10-16,,21.32,13.61,19.05,13.61
1996-10-23,,21.32,13.61,19.05,13.61
1996-10-30,,21.32,13.61,19.05,13.61
1996-11-06,,20.18,13.15,18.6,12.7
1996-11-13,,19.28,12.93,18.28,12.7
1996-11-20,,19.28,12.47,18.28,12.7
1996-11-27,,19.01,12.47,17.24,12.7
1996-12-04,,18.51,12.02,15.88,10.21
1996-12-11,,18.51,12.02,15.88,10.21
1996-12-18,,18.51,12.02,15.88,10.21
1996-12-25,,18.51,12.02,15.88,10.21
1997-01-01,,18.51,12.02,15.88,10.21
1997-01-08,,18.51,12.02,15.88,10.21
1997-01-15,,18.01,11.11,15.88,10.21
1997-01-22,,16.78,11.02,15.42,9.98
1997-01-29,,16.56,11.02,15.42,9.98
1997-02-05,,16.56,11.02,15.42,9.98
1997-02-12,,16.01,,,
1997-02-19,,16.01,,,
1997-02-26,,15.88,,,
1997-03-05,,15.51,,,
1997-03-12,,14.51,,,
1997-03-19,,14.51,,,
1997-03-26,,14.51,,,
1997-04-02,,14.51,,,
1997-04-09,,14.51,,,
1997-04-16,,14.51,,,
1997-04-23,,14.51,,,
1997-04-30,,14.51,,,
1997-05-07,,15.01,,,
1997-05-14,,15.24,,,
1997-05-21,,15.24,,,
1997-05-28,,15.24,,,
1997-06-04,,14.34,,,
1997-06-11,,13.47,,,
1997-06-18,,13.47,,,
1997-06-25,,13.47,,,
1997-07-02,,13.15,,,
1997-07-09,,13.15,,,
1997-07-16,,13.15,,,
1997-07-23,,13.38,,,
1997-07-30,,13.38,,,
1997-08-06,,13.38,,,
1997-08-13,,13.38,,,
1997-08-20,,14.02,11.57,,
1997-08-27,,15.24,13.61,,
1997-09-03,,15.24,13.61,,
1997-09-10,,15.24,13.61,,
1997-09-17,,14.97,13.61,,
1997-09-24,,14.97,13.61,,
1997-10-01,,13.61,12.7,,
1997-10-08,,13.61,12.7,,
1997-10-15,,14.02,12.7,,
1997-10-22,,14.24,12.7,,
1997-10-29,,14.24,12.7,,
1997-11-05,,14.02,12.7,,
1997-11-12,,14.02,12.7,,
1997-11-19,,13.83,12.7,,
1997-11-26,,13.61,12.25,,
1997-12-03,,13.61,12.25,,
1997-12-10,,13.61,12.25,,
1997-12-17,,12.93,12.47,,
1997-12-24,,12.93,12.47,,
1997-12-31,,12.93,12.47,,
1998-01-07,,13.61,13.02,,
1998-01-14,,13.74,13.52,,
1998-01-21,,14.02,14.06,,
1998-01-28,,14.02,14.06,,
1998-02-04,,14.02,15.01,,
1998-02-11,,14.51,15.01,,
1998-02-18,,14.51,15.01,,
1998-02-25,,15.01,15.01,,
1998-03-04,,15.01,15.01,,
1998-03-11,,15.01,15.01,,
1998-03-18,,15.01,15.01,,
1998-03-25,,15.01,15.01,,
1998-04-01,,15.01,15.01,,
1998-04-08,,15.01,15.01,,
1998-04-15,,15.01,15.01,,
1998-04-22,,15.01,15.01,,
1998-04-29,,15.01,15.01,14.06,
1998-05-06,,15.01,15.01,14.06,
1998-05-13,,15.01,15.01,14.06,
1998-05-20,,15.47,15.01,14.97,
1998-05-27,,18.14,17.46,17.46,
1998-06-03,,18.14,16.56,16.78,
1998-06-10,,19.01,16.56,17.46,15.42
1998-06-17,,19.01,16.56,17.46,15.42
1998-06-24,,18.01,16.56,16.56,15.42
1998-07-01,,18.01,16.56,16.56,15.42
1998-07-08,,18.01,16.56,16.56,15.42
1998-07-15,,17.55,16.56,16.56,15.42
1998-07-22,,17.01,16.01,16.01,15.42
1998-07-29,,17.46,16.01,16.01,15.42
1998-08-05,,17.46,16.01,16.01,15.42
1998-08-12,,17.01,16.1,15.42,15.42
1998-08-19,,17.01,16.1,15.42,15.42
1998-08-26,,17.01,15.65,15.01,14.97
1998-09-02,,16.56,15.79,15.01,14.97
1998-09-09,,16.56,15.79,15.01,14.97
1998-09-16,,16.33,15.56,14.06,14.51
1998-09-23,,16.51,15.56,14.06,14.51
1998-09-30,,16.51,15.56,14.06,14.51
1998-10-07,,16.01,15.51,14.06,14.51
1998-10-14,,16.51,15.51,14.51,14.51
1998-10-21,,17.01,17.01,14.51,14.51
1998-10-28,,17.01,17.01,15.01,14.51
1998-11-04,,17.24,18.01,15.01,14.51
1998-11-11,,17.24,18.01,15.01,14.51
1998-11-18,,17.24,18.01,15.01,14.51
1998-11-25,,18.01,20,16.33,14.51
1998-12-02,,18.01,20,16.33,14.51
1998-12-09,,17.51,22.23,16.33,14.51
1998-12-16,,17.51,22.23,16.33,14.51
1998-12-23,,17.01,22.23,16.33,16.56
1998-12-30,,17.01,22.23,16.33,16.56
1999-01-06,25.04,17.01,22.23,16.33,16.56
1999-01-13,25.04,17.01,22.23,16.33,16.56
1999-01-20,23.61,17.25,22.12,16.33,16.26
1999-01-27,23.14,17.1,22.35,16.37,16.61
1999-02-03,21.94,16.9,23.35,16.17,16.61
1999-02-10,21.94,17.19,23.35,16.41,16.61
1999-02-17,21.94,17.19,23.35,16.41,16.61
1999-02-24,21.48,17.11,23.35,16.31,16.52
1999-03-03,21.85,16.89,23.06,15.96,17.03
1999-03-10,21.1,16.27,22.31,15.83,17.03
1999-03-17,21.1,16.21,21.55,15.63,17.03
1999-03-24,21.1,16.21,21.3,15.63,16.53
1999-03-31,18.58,15.97,19.79,15.06,16.06
1999-04-07,18.58,15.97,19.79,15.06,16.06
1999-04-14,18.58,16.88,19.79,15.5,16.06
1999-04-21,18.99,17.88,18.91,16.02,15.94
1999-04-28,18.99,17.88,18.91,16.02,15.94
1999-05-05,19,17.88,19.14,16.27,15.94
1999-05-12,20.42,19.5,19.26,17.03,16.65
1999-05-19,20.72,19.75,19.65,17.46,16.54
1999-05-26,20.59,19.61,19.51,17.46,16.54
1999-06-02,20.59,19.68,19.64,17.5,16.75
1999-06-09,20.97,20.25,20.5,17.64,16.92
1999-06-16,20.97,20.46,20.5,17.93,16.92
1999-06-23,20.91,20.75,20.64,18.07,17.09
1999-06-30,20.91,20.75,20.64,18.07,17.09
1999-07-07,20.09,19.76,20.44,17.65,16.67
1999-07-14,20.14,19.9,20.12,17.89,16.86
1999-07-21,19.73,19.48,20.01,17.67,16.86
1999-07-28,19.73,19.48,20.01,17.62,16.86
1999-08-04,19.79,19.54,20.12,17.62,17.14
1999-08-11,19.79,19.54,20.12,17.68,17.55
1999-08-18,19.92,20.45,19.72,18.3,17.48
1999-08-25,19.86,20.44,19.94,18.3,17.29
1999-09-01,20.41,21.36,19.71,18.26,17.85
1999-09-08,20.34,22.15,20.28,18.19,17.66
1999-09-15,19.65,21.07,20.75,18,17.09
1999-09-22,19.48,21.21,20.75,18.07,17.37
1999-09-29,19.59,21.21,20.75,18.07,17.37
1999-10-06,19.72,21.21,20.85,18.07,17.37
1999-10-13,19.77,21.5,21.29,18.14,17.31
1999-10-20,19.77,21.36,21.51,18.15,17.31
1999-10-27,19.76,21.56,21.86,18.29,17.59
1999-11-03,19.66,22.01,22.23,18.44,17.67
