Date,"Mustard 1CAN - Yellow ($ per cwt)","Mustard 1CAN - Brown ($ per cwt)","Mustard 1CAN - Oriental ($ per cwt)"
1992-01-01,8,8,9.5
1992-01-08,8,8,9.5
1992-01-15,9,8.75,9.5
1992-01-22,9,8.75,9.5
1992-01-29,9,8.75,9.5
1992-02-05,9,8.75,9.5
1992-02-12,9,8.75,9.5
1992-02-19,9,8.75,9.5
1992-02-26,9,8.75,9.5
1992-03-04,,8.75,9.5
1992-03-11,,8.75,9.5
1992-03-18,,8.75,9.5
1992-03-25,,8.75,9.5
1992-04-01,,8.75,9.5
1992-04-08,,8.75,9.5
1992-04-15,,8.75,9.5
1992-04-22,,8.75,9.5
1992-04-29,,8.75,9.5
1992-05-06,,8.75,9.5
1992-05-13,,8.75,9.5
1992-05-20,,9,10
1992-05-27,,9,10
1992-06-03,,9,10
1992-06-10,,9,10
1992-06-17,,9,10
1992-06-24,,9,10
1992-07-01,,9,10
1992-07-08,,9,10
1992-07-15,,9,10
1992-07-22,,9,10
1992-07-29,,9,10
1992-08-05,,9,10
1992-08-12,,9,10
1992-08-19,,9,10
1992-08-26,,9,10
1992-09-02,,9,9
1992-09-09,9,9,11
1992-09-16,9,12.5,13
1992-09-23,11,12.5,13
1992-09-30,,,
1992-10-07,10,10,10
1992-10-14,10,10,10
1992-10-21,10,10,10
1992-10-28,10,10,10
1992-11-04,10,10,10
1992-11-11,10,,
1992-11-18,10,9,9
1992-11-25,10,9,9
1992-12-02,,9,9
1992-12-09,,9,9
1992-12-16,10,9,9
1992-12-23,10,9,9
1992-12-30,10,9,9
1993-01-06,10,9,9
1993-01-13,10,9,9
1993-01-20,10,9,9
1993-01-27,10,9,9
1993-02-03,10,9,9
1993-02-10,10,9,9
1993-02-17,10,9,9
1993-02-24,10,9,9
1993-03-03,10,9,9
1993-03-10,10,9,9
1993-03-17,10,9,9
1993-03-24,10,9,9
1993-03-31,10,9,9
1993-04-07,10,9,9
1993-04-14,10,9,9
1993-04-21,10,9,9
1993-04-28,10,9,9
1993-05-05,10,9,9
1993-05-12,10,9,9
1993-05-19,10,9,9
1993-05-26,10,9,9
1993-06-02,10,9,9
1993-06-09,10,9,9
1993-06-16,9,9,9
1993-06-23,9,9,9
1993-06-30,9,9,9
1993-07-07,9,9,9
1993-07-14,9,9,9
1993-07-21,9,8.5,9
1993-07-28,9,8,9
1993-08-04,9,8,9
1993-08-11,10,8,9
1993-08-18,10,8,9
1993-08-25,10,8,9
1993-09-01,10,8,9
1993-09-08,10,8,9
1993-09-15,10,8,9
1993-09-22,10,8,9
1993-09-29,10,9,9
1993-10-06,10,9,9
1993-10-13,10,9.5,10
1993-10-20,10.7,10,10
1993-10-27,10.7,10,10
1993-11-03,10.7,10,10
1993-11-10,10.7,10,10
1993-11-17,10.7,10,10
1993-11-24,10.7,10,10
1993-12-01,10.7,10,10
1993-12-08,10.7,10,10
1993-12-15,10.7,10,10
1993-12-22,10.7,10,10
1993-12-29,11.3,10,10
1994-01-05,11.3,10,10
1994-01-12,11.3,10,10
1994-01-19,11.3,10.5,10.5
1994-01-26,11.3,10.5,10.5
1994-02-02,11.3,10.5,10.5
1994-02-09,11.3,10.5,10.5
1994-02-16,11.8,11.3,11.3
1994-02-23,11.8,11.3,11.3
1994-03-02,12,11.3,11.3
1994-03-09,12,11.3,11.3
1994-03-16,12,11.3,11.3
1994-03-23,12,11.3,11.3
1994-03-30,13,12,12
1994-04-06,14.5,13,13
1994-04-13,14.5,13,13
1994-04-20,14.5,13,13
