Date,"1CWRS ($ per tonne)","1CRSRed ($ per tonne)"," 1CWAD ($ per tonne)","CW Feed ($ per tonne)"
1980-07-02,,,,134.2
1980-07-09,,,,135.5
1980-07-16,,,,136.8
1980-07-23,,,,137.5
1980-07-30,,,,136.5
1980-08-06,,,,138.3
1980-08-13,,,,141.3
1980-08-20,,,,146.3
1980-08-27,,,,142
1980-09-03,,,,142.4
1980-09-10,,,,144.4
1980-09-17,,,,142.8
1980-09-24,,,,140.9
1980-10-01,,,,142.5
1980-10-08,,,,138.6
1980-10-15,,,,144.4
1980-10-22,,,,148.8
1980-10-29,,,,149.7
1980-11-05,,,,151.1
1980-11-12,,,,153.3
1980-11-19,,,,157.7
1980-11-26,,,,154.3
1980-12-03,,,,143.1
1980-12-10,,,,149
1980-12-17,,,,150.6
1981-01-07,,,,149.5
1981-01-14,,,,146.1
1981-01-21,,,,142.9
1981-01-28,,,,143
1981-02-04,,,,141.1
1981-02-11,,,,145.1
1981-02-18,,,,146.6
1981-02-25,,,,145.1
1981-03-04,,,,147.4
1981-03-11,,,,145.8
1981-03-18,,,,147.7
1981-03-25,,,,143
1981-04-01,,,,141.7
1981-04-08,,,,143.6
1981-04-15,,,,
1981-04-22,,,,
1981-04-29,,,,145.5
1981-05-06,,,,147.8
1981-05-13,,,,148.9
1981-05-20,,,,148.3
1981-05-27,,,,148.1
1981-06-03,,,,148.1
1981-06-10,,,,145.8
1981-06-17,,,,143.6
1981-06-24,,,,144.9
1981-07-01,,,,129.1
1981-07-08,,,,132.2
1981-07-15,,,,131.1
1981-07-22,,,,134.4
1981-07-29,,,,133.4
1981-08-05,,,,132.6
1981-08-12,,,,128.4
1981-08-19,,,,128.3
1981-08-26,,,,120.7
1981-09-02,,,,122.8
1981-09-09,,,,124.8
1981-09-16,,,,118.6
1981-09-23,,,,121.5
1981-09-30,,,,118.7
1981-10-07,,,,119.1
1981-10-14,,,,120.3
1981-10-21,,,,124.7
1981-10-28,,,,127.1
1981-11-04,,,,126.3
1981-11-11,,,,123.3
1981-11-18,,,,119.5
1981-11-25,,,,115.7
1981-12-02,,,,117.3
1981-12-09,,,,119.9
1981-12-16,,,,122
1981-12-23,,,,125.7
1981-12-30,,,,123.9
1982-01-06,,,,129.1
1982-01-13,,,,132.4
1982-01-20,,,,132
1982-01-27,,,,128.1
1982-02-03,,,,132.5
1982-02-10,,,,130.9
1982-02-17,,,,131.8
1982-02-24,,,,130.7
1982-03-03,,,,123
1982-03-10,,,,119.9
1982-03-17,,,,120.9
1982-03-24,,,,126.4
1982-03-31,,,,128.2
1982-04-07,,,,128.5
1982-04-14,,,,134.1
1982-04-21,,,,136.4
1982-04-28,,,,130.1
1982-05-05,,,,130.7
1982-05-12,,,,131.1
1982-05-19,,,,130.5
1982-05-26,,,,129.2
1982-06-02,,,,125.1
1982-06-09,,,,126.6
1982-06-16,,,,127.2
1982-06-23,,,,124.5
1982-06-30,,,,121.4
1982-07-07,,,,120.2
1982-07-14,,,,118.3
1982-07-21,,,,113.8
1982-07-28,,,,111.5
1982-08-04,,,,109
1982-08-11,,,,114.5
1982-08-18,,,,108.9
1982-08-25,,,,108.2
1982-09-01,,,,109.8
1982-09-08,,,,102.4
1982-09-15,,,,103
1982-09-22,,,,113.3
1982-09-29,,,,112
1982-10-06,,,,107.8
1982-10-13,,,,97.7
1982-10-20,,,,97.6
1982-10-27,,,,94.9
1982-11-03,,,,95.4
1982-11-10,,,,105.2
1982-11-17,,,,106.9
1982-11-24,,,,106.9
1982-12-01,,,,105.3
1982-12-08,,,,105.8
1982-12-15,,,,104.9
1982-12-22,,,,
1982-12-29,,,,
1983-01-05,,,,105.5
1983-01-12,,,,105.3
1983-01-19,,,,106.8
1983-01-26,,,,108.6
1983-02-02,,,,109.3
1983-02-09,,,,108
1983-02-16,,,,110.7
1983-02-23,,,,109.4
1983-03-02,,,,106.4
1983-03-09,,,,108
1983-03-16,,,,102
1983-03-23,,,,104.8
1983-03-30,,,,105.5
1983-04-06,,,,105.9
1983-04-13,,,,111
1983-04-20,,,,113.3
1983-04-27,,,,114.1
1983-05-04,,,,122
1983-05-11,,,,120.4
1983-05-18,,,,120.6
1983-05-25,,,,123.3
1983-06-01,,,,122.8
1983-06-08,,,,124.2
1983-06-15,,,,123.5
1983-06-22,,,,120
1983-06-29,,,,115.7
1983-07-06,,,,113.5
1983-07-13,,,,116.1
1983-07-20,,,,121.5
1983-07-27,,,,121.8
1983-08-03,,,,132.5
1983-08-10,,,,134
1983-08-17,,,,132.2
1983-08-24,,,,136.41
1983-08-31,,,,136.41
1983-09-07,,,,133.7
1983-09-14,,,,134.5
1983-09-21,,,,143.41
1983-09-28,,,,142.51
1983-10-05,,,,141.21
1983-10-12,,,,144.41
1983-10-19,,,,145.21
1983-10-26,,,,
1983-11-02,,,,
1983-11-09,,,,143.31
1983-11-16,,,,140.51
1983-11-23,,,,138.31
1983-11-30,,,,139.21
1983-12-07,,,,137.41
1983-12-14,,,,136.61
1983-12-21,,,,136.71
1983-12-28,,,,
1984-01-04,,,,133.1
